,Compound,Sample_ID,Label,Type...9,Family,Family2,Batch,Exact_weight_g,DF,Conc_Corr,Censored_Status,Conc_NoCorr
1,PFBA,1,Native,Sample,PFCA,PFCA,1,0.2651,3.772161449,<MDL,Censored,0
2,PFBA,3,Native,Sample,PFCA,PFCA,1,0.2533,3.94788788,<MDL,Censored,0
3,PFBA,4,Native,Sample,PFCA,PFCA,1,3.91,0.255754476,<MDL,Censored,0
4,PFBA,5,Native,Sample,PFCA,PFCA,1,0.2423,4.127115147,<MDL,Censored,0
5,PFBA,6,Native,Sample,PFCA,PFCA,1,0.2509,3.985651654,<MDL,Censored,0
6,PFBA,7,Native,Sample,PFCA,PFCA,1,0.2567,3.895597974,<MDL,Censored,0
7,PFBA,8,Native,Sample,PFCA,PFCA,1,0.2617,3.821169278,<MDL,Censored,0
8,PFBA,9,Native,Sample,PFCA,PFCA,1,0.2449,4.083299306,<MDL,Censored,0
9,PFBA,10,Native,Sample,PFCA,PFCA,1,0.2524,3.961965135,<MDL,Censored,0
10,PFBA,11,Native,Sample,PFCA,PFCA,1,0.2439,4.100041,<MDL,Censored,0
11,PFBA,12,Native,Sample,PFCA,PFCA,1,0.2438,4.101722724,<MDL,Censored,0
12,PFBA,13,Native,Sample,PFCA,PFCA,1,0.2589,3.862495172,<MDL,Censored,0
13,PFBA,14,Native,Sample,PFCA,PFCA,1,0.262,3.816793893,<MDL,Censored,0
14,PFBA,15,Native,Sample,PFCA,PFCA,1,0.2497,4.004805767,<MDL,Censored,0
15,PFBA,16,Native,Sample,PFCA,PFCA,1,0.2557,3.910833007,1.896754009,Uncensored,1.896754009
16,PFBA,17,Native,Sample,PFCA,PFCA,1,0.2423,4.127115147,<MDL,Censored,0
17,PFPeA,1,Native,Sample,PFCA,PFCA,1,0.2651,3.772161449,<MDL,Censored,0.150886458
18,PFPeA,3,Native,Sample,PFCA,PFCA,1,0.2533,3.94788788,<MDL,Censored,0.116462692
19,PFPeA,4,Native,Sample,PFCA,PFCA,1,3.91,0.255754476,<MDL,Censored,0
20,PFPeA,5,Native,Sample,PFCA,PFCA,1,0.2423,4.127115147,<MDL,Censored,0.1361948
21,PFPeA,6,Native,Sample,PFCA,PFCA,1,0.2509,3.985651654,<MDL,Censored,0
22,PFPeA,7,Native,Sample,PFCA,PFCA,1,0.2567,3.895597974,<MDL,Censored,0.105181145
23,PFPeA,8,Native,Sample,PFCA,PFCA,1,0.2617,3.821169278,<MDL,Censored,0.114635078
24,PFPeA,9,Native,Sample,PFCA,PFCA,1,0.2449,4.083299306,<MDL,Censored,0.104124132
25,PFPeA,10,Native,Sample,PFCA,PFCA,1,0.2524,3.961965135,<MDL,Censored,0
26,PFPeA,11,Native,Sample,PFCA,PFCA,1,0.2439,4.100041,<MDL,Censored,0.125051251
27,PFPeA,12,Native,Sample,PFCA,PFCA,1,0.2438,4.101722724,<MDL,Censored,0.133305989
28,PFPeA,13,Native,Sample,PFCA,PFCA,1,0.2589,3.862495172,<MDL,Censored,0.096562379
29,PFPeA,14,Native,Sample,PFCA,PFCA,1,0.262,3.816793893,<MDL,Censored,0.152671756
30,PFPeA,15,Native,Sample,PFCA,PFCA,1,0.2497,4.004805767,<MDL,Censored,0.140168202
31,PFPeA,16,Native,Sample,PFCA,PFCA,1,0.2557,3.910833007,<MDL,Censored,0
32,PFPeA,17,Native,Sample,PFCA,PFCA,1,0.2423,4.127115147,0.299215848,Uncensored,0.299215848
33,HFPODA-GenX,1,Native,Sample,PFEA,Other,1,0.2651,3.772161449,<MDL,Censored,0
34,HFPODA-GenX,3,Native,Sample,PFEA,Other,1,0.2533,3.94788788,<MDL,Censored,0
35,HFPODA-GenX,4,Native,Sample,PFEA,Other,1,3.91,0.255754476,<MDL,Censored,0
36,HFPODA-GenX,5,Native,Sample,PFEA,Other,1,0.2423,4.127115147,<MDL,Censored,0
37,HFPODA-GenX,6,Native,Sample,PFEA,Other,1,0.2509,3.985651654,<MDL,Censored,0
38,HFPODA-GenX,7,Native,Sample,PFEA,Other,1,0.2567,3.895597974,<MDL,Censored,0
39,HFPODA-GenX,8,Native,Sample,PFEA,Other,1,0.2617,3.821169278,<MDL,Censored,0
40,HFPODA-GenX,9,Native,Sample,PFEA,Other,1,0.2449,4.083299306,<MDL,Censored,0
41,HFPODA-GenX,10,Native,Sample,PFEA,Other,1,0.2524,3.961965135,<MDL,Censored,0
42,HFPODA-GenX,11,Native,Sample,PFEA,Other,1,0.2439,4.100041,<MDL,Censored,0
43,HFPODA-GenX,12,Native,Sample,PFEA,Other,1,0.2438,4.101722724,<MDL,Censored,0
44,HFPODA-GenX,13,Native,Sample,PFEA,Other,1,0.2589,3.862495172,<MDL,Censored,0
45,HFPODA-GenX,14,Native,Sample,PFEA,Other,1,0.262,3.816793893,<MDL,Censored,0
46,HFPODA-GenX,15,Native,Sample,PFEA,Other,1,0.2497,4.004805767,<MDL,Censored,0
47,HFPODA-GenX,16,Native,Sample,PFEA,Other,1,0.2557,3.910833007,<MDL,Censored,0
48,HFPODA-GenX,17,Native,Sample,PFEA,Other,1,0.2423,4.127115147,<MDL,Censored,0
49,PFBS,1,Native,Sample,PFSA,PFSA,1,0.2651,3.772161449,<MDL,Censored,0
50,PFBS,3,Native,Sample,PFSA,PFSA,1,0.2533,3.94788788,<MDL,Censored,0
51,PFBS,4,Native,Sample,PFSA,PFSA,1,3.91,0.255754476,<MDL,Censored,0
52,PFBS,5,Native,Sample,PFSA,PFSA,1,0.2423,4.127115147,<MDL,Censored,0
53,PFBS,6,Native,Sample,PFSA,PFSA,1,0.2509,3.985651654,<MDL,Censored,0
54,PFBS,7,Native,Sample,PFSA,PFSA,1,0.2567,3.895597974,<MDL,Censored,0
